genre,month_year,score
Folk_and_Country,2017-01,6.7
Folk_and_Country,2017-02,7.116666666666667
Folk_and_Country,2017-03,7.7
Folk_and_Country,2017-04,7.5
Folk_and_Country,2017-05,7.5200000000000005
Folk_and_Country,2017-06,7.2666666666666675
Folk_and_Country,2017-07,7.533333333333334
Folk_and_Country,2017-08,7.5
Folk_and_Country,2017-09,7.383333333333333
Folk_and_Country,2017-10,7.766666666666666
Folk_and_Country,2017-11,7.066666666666666
Folk_and_Country,2018-01,6.4
Folk_and_Country,2018-02,7.25
Folk_and_Country,2018-03,7.4
Folk_and_Country,2018-04,7.8500000000000005
Folk_and_Country,2018-05,7.583333333333333
Folk_and_Country,2018-06,7.75
Folk_and_Country,2018-07,6.840000000000001
Folk_and_Country,2018-08,7.4
Folk_and_Country,2018-09,7.3125
Folk_and_Country,2018-10,7.314285714285715
Folk_and_Country,2018-11,6.82
Folk_and_Country,2019-01,7.65
Folk_and_Country,2019-02,7.624999999999999
Folk_and_Country,2019-03,4.75
Folk_and_Country,2019-04,7.541666666666667
Folk_and_Country,2019-05,7.699999999999999
Folk_and_Country,2019-06,6.825
Folk_and_Country,2019-07,7.85
Folk_and_Country,2019-08,7.5600000000000005
Folk_and_Country,2019-09,7.71111111111111
Folk_and_Country,2019-10,7.0
Folk_and_Country,2019-11,7.26
Folk_and_Country,2019-12,6.7
Folk_and_Country,2020-01,7.333333333333333
Folk_and_Country,2020-02,7.7
Folk_and_Country,2020-03,6.7
Folk_and_Country,2020-04,7.68
Folk_and_Country,2020-05,7.7250000000000005
Folk_and_Country,2020-06,7.5
Folk_and_Country,2020-07,7.128571428571429
Folk_and_Country,2020-08,7.349999999999999
Folk_and_Country,2020-09,7.466666666666668
Folk_and_Country,2020-10,7.390000000000001
Folk_and_Country,2020-11,7.45
Folk_and_Country,2020-12,7.5
Folk_and_Country,2021-01,7.362500000000001
Folk_and_Country,2021-02,7.508333333333334
Folk_and_Country,2021-03,7.3999999999999995
Folk_and_Country,2021-04,7.525
Folk_and_Country,2021-05,7.322222222222223
Folk_and_Country,2021-06,7.25
Folk_and_Country,2021-07,7.0
Folk_and_Country,2021-08,7.34375
Folk_and_Country,2021-09,7.225
Folk_and_Country,2021-10,7.583333333333333
Folk_and_Country,2021-11,7.580000000000001
Folk_and_Country,2021-12,7.8
Global,1999-06,9.0
Global,2000-03,6.5
Global,2000-09,8.4
Global,2001-01,6.0
Global,2001-04,8.1
Global,2001-06,7.8
Global,2002-03,8.3
Global,2002-04,6.7
Global,2002-05,6.8
Global,2002-07,8.3
Global,2002-09,6.2
Global,2003-01,6.8
Global,2003-03,6.0
Global,2003-06,7.9
Global,2003-12,8.1
Global,2004-04,8.8
Global,2004-05,7.6
Global,2004-07,7.7
Global,2004-08,7.5
Global,2004-09,8.65
Global,2004-11,8.5
Global,2005-03,8.233333333333334
Global,2005-05,7.8
Global,2005-06,7.875
Global,2005-07,7.9
Global,2005-09,7.8
Global,2006-02,7.566666666666666
Global,2006-03,4.9
Global,2006-04,7.9
Global,2006-05,8.4
Global,2006-06,6.3
Global,2006-07,7.6
Global,2006-08,8.1
Global,2006-10,7.0
